Pokemon,Score,Dex,Type 1,Type 2,Attack,Defense,Stamina,Stat Product,Level,CP,Fast Move,Charged Move 1,Charged Move 2,Charged Move 1 Count,Charged Move 2 Count,Buddy Distance,Charged Move Cost
Electabuzz,69.9,125,electric,none,130.9,112.6,115,1694299,24,1490,Thunder Shock,Thunder Punch,Return,5,8,5,75000
Rhyperior (Shadow),69.9,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,6,3,50000
Gabite,69.8,444,dragon,ground,128.8,101,133,1729456,30,1497,Mud Shot,Dig,Flamethrower,6,7,5,75000
Klinklang,69.8,601,steel,none,124.9,140.2,102,1785632,21,1494,Thunder Shock,Mirror Shot,Zap Cannon,4,9,5,75000
Camerupt (Shadow),69.7,323,fire,ground,134.9,101.2,122,1665522,25.5,1499,Incinerate,Earth Power,Overheat,3,3,3,50000
Magby,69.7,240,fire,none,139.5,95.8,120,1603478,50,1496,Karate Chop,Fire Punch,Brick Break,5,5,5,10000
Magmar,69.7,126,fire,none,136.6,107.5,112,1645117,23.5,1499,Karate Chop,Fire Punch,Scorching Sands,5,7,5,75000
Pawmo,69.7,922,electric,fighting,136.1,81.5,142,1575592,50,1468,Spark,Wild Charge,Thunder Punch,7,6,3,75000
Pawmot,69.7,923,electric,fighting,144.5,94.3,113,1538995,21,1492,Spark,Close Combat,Wild Charge,7,7,3,75000
Prinplup (Shadow),69.7,394,water,none,119.1,116,136,1878103,37,1500,Bubble,Icy Wind,Hydro Pump,5,7,3,10000
Pumpkaboo (Average),69.7,710,ghost,grass,114.3,116,126,1669772,50,1381,Astonish,Grass Knot,Foul Play,5,5,5,75000
Spiritomb,69.7,442,ghost,dark,121.2,146.4,104,1845420,27.5,1498,Sucker Punch,Shadow Ball,Shadow Sneak,8,7,5,75000
Torkoal,69.7,324,fire,none,107.6,151.3,127,2067715,27,1491,Fire Spin,Overheat,Earthquake,6,7,3,50000
Zebstrika,69.7,523,electric,none,137.7,95.5,123,1617244,23,1496,Spark,Wild Charge,Flame Charge,7,8,3,50000
Aggron,69.6,306,steel,rock,116.1,154,107,1912293,18.5,1492,Smack Down,Meteor Beam,Thunder,8,8,1,10000
Nidorino (Shadow),69.6,33,poison,none,124.2,103.7,140,1803300,46.5,1500,Poison Jab,Dig,Sludge Bomb,8,8,3,50000
Eelektrik,69.5,603,electric,none,123.2,110.9,133,1818238,36.5,1498,Spark,Crunch,Discharge,7,7,1,10000
Shaymin (Land),69.5,492,grass,none,117.9,122.3,131,1888054,17,1492,Magical Leaf,Grass Knot,Seed Flare,5,8,20,100000
Slowking (Galarian),69.5,199,poison,psychic,117.9,115.5,139,1893827,20.5,1498,Hex,Surf,Shadow Ball,4,5,3,50000
Swanna,69.5,581,water,flying,129.3,99.7,134,1727466,26.5,1498,Air Slash,Fly,Ice Beam,5,7,3,50000
Breloom,69.4,286,grass,fighting,150.6,97.3,101,1480402,21,1493,Counter,Dynamic Punch,Grass Knot,8,8,3,50000
Slowpoke (Galarian),69.4,79,psychic,none,104.2,95,186,1840271,50,1386,Confusion,Surf,Psyshock,4,4,3,50000
Darumaka,69.2,554,fire,none,132,83.5,154,1697707,49,1499,Fire Fang,Fire Punch,Flame Charge,8,10,3,50000
Rhydon (Shadow),69.2,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,7,3,50000
Tyranitar (Shadow),69.2,248,rock,dark,130.2,109.4,121,1723417,14.5,1498,Smack Down,Brutal Swing,Stone Edge,5,7,5,75000
Armaldo (Shadow),69.1,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Growlithe (Shadow),69.1,58,fire,none,126.9,90.8,135,1554545,50,1405,Ember,Body Slam,Flamethrower,6,10,3,50000
Smoochum,69.1,238,ice,psychic,141.2,89.1,120,1508916,50,1460,Powder Snow,Ice Punch,Psyshock,5,6,5,10000
Flareon,69,136,fire,none,141.7,110,100,1557872,18,1488,Fire Spin,Superpower,Flamethrower,4,6,5,75000
Gabite (Shadow),69,444,dragon,ground,128.8,101,133,1729456,30,1497,Mud Shot,Dig,Flamethrower,6,7,5,75000
Houndoom (Shadow),69,229,dark,fire,140.8,94.9,119,1589764,21,1498,Snarl,Crunch,Flamethrower,4,5,3,50000
Rotom,69,479,electric,ghost,133.6,123,102,1676130,28,1500,Thunder Shock,Thunderbolt,Ominous Wind,7,5,5,75000
Entei (Shadow),68.9,244,fire,none,128.8,96.2,141,1746495,16,1500,Fire Fang,Flame Charge,Scorching Sands,10,10,20,100000
Infernape,68.9,392,fire,fighting,136.7,100.4,118,1619407,20.5,1491,Fire Spin,Close Combat,Blast Burn,5,5,3,10000
Nidoking,68.8,34,poison,ground,130.1,104.1,127,1719018,21.5,1498,Double Kick,Sand Tomb,Earth Power,4,5,3,50000
Zygarde (10% Forme),68.7,718,dragon,ground,135.2,120.4,101,1644400,23,1497,Dragon Tail,Crunch,Earthquake,5,8,20,100000
Garchomp,68.6,445,dragon,ground,132.5,102.5,124,1683122,14,1495,Dragon Tail,Sand Tomb,Outrage,5,7,5,75000
Tyrantrum,68.6,697,rock,dragon,130.2,113.4,116,1713446,17.5,1495,Dragon Tail,Meteor Beam,Crunch,7,5,5,75000
Clamperl,68.4,366,water,none,124.4,126,105,1645929,50,1436,Water Gun,Body Slam,Water Pulse,12,19,3,50000
Delcatty,68.4,301,normal,none,112.7,115.2,153,1986701,46.5,1496,Charm,Wild Charge,Disarming Voice,8,8,3,50000
Durant,68.4,632,bug,steel,135.9,121.2,100,1647192,21,1499,Bug Bite,X-Scissor,Stone Edge,14,19,3,50000
Klang,68.4,600,steel,none,114.1,137,125,1954283,31.5,1494,Thunder Shock,Thunderbolt,Vise Grip,7,5,5,75000
Lairon (Shadow),68.4,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Claw,Rock Slide,Body Slam,8,6,1,10000
Rhyperior,68.4,464,ground,rock,126.8,105.5,132,1766090,15,1498,Mud Slap,Breaking Swipe,Rock Wrecker,4,6,3,50000
Simipour,68.4,516,water,none,136.6,94.5,126,1627774,23.5,1496,Water Gun,Surf,Crunch,14,15,3,50000
Latias,68.3,380,dragon,psychic,124.5,137.9,105,1802286,16,1499,Dragon Breath,Mist Ball,Thunder,20,20,20,100000
Scraggy,68.3,559,dark,fighting,120.4,122.1,126,1851509,48,1494,Feint Attack,Foul Play,Brick Break,8,7,3,50000
Stakataka,68.3,805,rock,steel,119.4,169.8,92,1865399,16.5,1498,Rock Throw,Stone Edge,Flash Cannon,11,14,20,100000
Kangaskhan,68.1,115,normal,none,115.9,112.8,148,1934823,22,1500,Mud Slap,Crunch,Stomp,5,5,3,50000
Sawk,68.1,539,fighting,none,141,99.8,113,1589415,20,1500,Poison Jab,Body Slam,Brick Break,5,6,5,75000
Weavile (Shadow),68.1,461,dark,ice,143.1,103.4,106,1568420,18.5,1500,Snarl,Avalanche,Foul Play,4,4,3,50000
Raticate,68,20,normal,none,125.9,115.3,122,1771626,34.5,1494,Quick Attack,Dig,Hyper Fang,7,7,1,10000
Jolteon,67.9,135,electric,none,138.6,113,103,1612419,19,1495,Volt Switch,Discharge,Last Resort,3,4,5,75000
Maushold,67.9,925,normal,none,117.3,123.7,132,1915269,29,1500,Mud Shot,Crunch,Swift,5,5,1,10000
Dustox,67.8,269,bug,poison,95,148.7,142,2005436,50,1384,Confusion,Sludge Bomb,Silver Wind,5,4,1,10000
Fuecoco,67.8,909,fire,none,106.7,93.3,152,1513000,50,1274,Incinerate,Crunch,Disarming Voice,3,3,3,10000
Vibrava,67.8,329,ground,dragon,125.2,95.8,127,1523223,50,1384,Dragon Breath,Sand Tomb,Bug Buzz,14,20,5,75000
Weavile,67.8,461,dark,ice,143.1,103.4,106,1568420,18.5,1500,Snarl,Avalanche,Foul Play,4,4,3,50000
Honchkrow,67.7,430,dark,flying,150.6,68.3,145,1492462,20.5,1500,Snarl,Brave Bird,Dark Pulse,5,4,3,50000
Rhydon,67.7,112,ground,rock,126.7,102.4,136,1765046,17,1498,Mud Slap,Breaking Swipe,Stone Edge,4,7,3,50000
Floette,67.6,670,fairy,none,114.3,133.7,128,1955261,44,1499,Vine Whip,Dazzling Gleam,Petal Blizzard,9,9,3,50000
Gothitelle,67.6,576,psychic,none,116.6,137.3,120,1920338,23.5,1498,Confusion,Rock Slide,Future Sight,4,6,3,50000
Growlithe,67.6,58,fire,none,126.9,90.8,135,1554545,50,1405,Ember,Body Slam,Flamethrower,6,10,3,50000
Zebstrika (Shadow),67.6,523,electric,none,137.7,95.5,123,1617244,23,1496,Spark,Wild Charge,Flame Charge,7,8,3,50000
Aerodactyl,67.5,142,rock,flying,135,103.9,118,1656037,20,1500,Steel Wing,Rock Slide,Earth Power,7,8,5,75000
Dusknoir,67.5,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Gholdengo,67.5,1000,steel,ghost,135.7,106.2,114,1643435,15.5,1494,Hex,Shadow Ball,Focus Blast,5,7,5,10000
Lombre,67.5,271,water,grass,106.7,112.6,142,1706340,50,1353,Bubble,Scald,Grass Knot,5,5,3,50000
Charmeleon (Shadow),67.4,5,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Fire Punch,Flamethrower,7,10,3,10000
Pumpkaboo (Small),67.4,710,ghost,grass,115.1,116.8,119,1600115,50,1359,Astonish,Grass Knot,Foul Play,5,5,5,75000
Aerodactyl (Shadow),67.3,142,rock,flying,135,103.9,118,1656037,20,1500,Steel Wing,Rock Slide,Earth Power,7,8,5,75000
Combusken,67.3,256,fire,fighting,131,99.6,131,1710523,39,1497,Ember,Rock Slide,Flame Charge,8,9,3,10000
Diancie,67.3,719,rock,fairy,119.2,175.2,89,1857962,19.5,1488,Rock Throw,Rock Slide,Moonblast,9,12,20,100000
Porygon2 (Shadow),67.3,233,normal,none,123.7,115.7,127,1816950,21,1500,Lock On,Tri Attack,Zap Cannon,10,16,3,50000
Houndoom,67.2,229,dark,fire,140.8,94.9,119,1589764,21,1498,Snarl,Crunch,Flamethrower,4,5,3,50000
Onix (Shadow),67.2,95,rock,ground,84,207.6,105,1831281,50,1245,Rock Throw,Rock Slide,Breaking Swipe,9,7,5,75000
Ponyta,67.2,77,fire,none,134.8,109.4,113,1666179,36.5,1500,Ember,Flame Charge,Stomp,9,7,3,50000
Sunflora,67.2,192,grass,none,128.7,102.2,131,1723173,26,1492,Bullet Seed,Leaf Storm,Sludge Bomb,5,4,3,50000
Drilbur,67.1,529,ground,none,139.5,81.9,141,1610077,49,1499,Mud Slap,Drill Run,Rock Tomb,5,7,3,50000
Blissey,67,242,normal,none,81.4,110.2,307,2754156,21,1498,Zen Headbutt,Wild Charge,Psychic,8,10,5,75000
Onix,67,95,rock,ground,84,207.6,105,1831281,50,1245,Rock Throw,Rock Slide,Breaking Swipe,9,7,5,75000
Plusle,67,311,electric,none,129.2,107.3,125,1733312,34,1499,Quick Attack,Thunderbolt,Grass Knot,7,7,3,50000
Sliggoo,67,705,dragon,none,115.2,132.6,127,1940188,27,1499,Water Gun,Muddy Water,Dragon Pulse,12,20,5,75000
Slowpoke,67,79,water,psychic,104.2,95,186,1840271,50,1386,Confusion,Psyshock,Water Pulse,4,5,3,50000
Arboliva,66.9,930,grass,normal,129.9,115.5,115,1724594,18.5,1499,Magical Leaf,Earth Power,Seed Bomb,6,5,3,50000
Skrelp,66.9,690,poison,water,104.2,104.2,127,1378846,50,1202,Water Gun,Aqua Tail,Sludge Bomb,12,17,3,50000
Tyranitar,66.9,248,rock,dark,130.2,109.4,121,1723417,14.5,1498,Smack Down,Brutal Swing,Stone Edge,5,7,5,75000
Venomoth,66.9,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Infestation,Poison Fang,Bug Buzz,4,5,3,50000
Drilbur (Shadow),66.8,529,ground,none,139.5,81.9,141,1610077,49,1499,Mud Slap,Drill Run,Rock Tomb,5,7,3,50000
Raticate (Shadow),66.8,20,normal,none,125.9,115.3,122,1771626,34.5,1494,Quick Attack,Hyper Fang,Dig,7,7,1,10000
Entei,66.7,244,fire,none,128.8,96.2,141,1746495,16,1500,Fire Fang,Flame Charge,Scorching Sands,10,10,20,100000
Glaceon,66.7,471,ice,none,137.2,124.1,96,1634258,18,1499,Ice Shard,Avalanche,Icy Wind,5,5,5,75000
Infernape (Shadow),66.7,392,fire,fighting,136.7,100.4,118,1619407,20.5,1491,Fire Spin,Close Combat,Blast Burn,5,5,3,10000
Metang,66.7,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Metal Claw,Psyshock,Gyro Ball,8,10,5,75000
Vivillon,66.7,666,bug,flying,133,84.5,150,1685529,30.5,1500,Gust,Aerial Ace,Energy Ball,4,5,1,10000
Chespin,66.6,650,grass,none,105,101.7,136,1452456,50,1239,Vine Whip,Body Slam,Seed Bomb,5,6,3,10000
Teddiursa (Shadow),66.6,216,normal,none,130.2,90.8,142,1678466,50,1482,Lick,Cross Chop,Crunch,12,15,3,50000
Dwebble (Shadow),66.5,557,bug,rock,111.8,120.2,127,1705533,50,1384,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Lairon,66.5,305,steel,rock,114.5,142.8,120,1962204,28,1500,Metal Claw,Rock Slide,Body Slam,8,6,1,10000
Mr. Rime,66.5,866,ice,psychic,129,114.1,118,1737399,20,1499,Confusion,Icy Wind,Psychic,4,5,5,75000
Alakazam (Shadow),66.4,65,psychic,none,157,103.1,88,1425029,18,1499,Counter,Fire Punch,Shadow Ball,6,8,3,50000
Aron (Shadow),66.4,304,steel,rock,114.3,131.1,127,1902550,50,1478,Tackle,Body Slam,Iron Head,12,17,1,10000
Dwebble,66.4,557,bug,rock,111.8,120.2,127,1705533,50,1384,Smack Down,X-Scissor,Rock Blast,5,5,1,10000
Gothitelle (Shadow),66.4,576,psychic,none,116.6,137.3,120,1920338,23.5,1498,Confusion,Rock Slide,Future Sight,4,6,3,50000
Tauros,66.4,128,normal,none,125.1,118.9,120,1785591,21.5,1495,Tackle,Horn Attack,Trailblaze,12,17,3,50000
Vanillish,66.4,583,ice,none,124.1,119.3,122,1805667,41,1499,Frost Breath,Icy Wind,Signal Beam,9,11,3,50000
Garbodor,66.3,569,poison,none,121.7,114.6,132,1842015,23.5,1498,Infestation,Body Slam,Seed Bomb,3,4,3,50000
Banette (Shadow),66.2,354,ghost,none,146.8,89.3,117,1533076,24.5,1500,Shadow Claw,Shadow Ball,Thunder,7,8,3,50000
Combusken (Shadow),66.2,256,fire,fighting,131,99.6,131,1710523,39,1497,Ember,Rock Slide,Flame Charge,8,9,3,10000
Honchkrow (Shadow),66.2,430,dark,flying,150.6,68.3,145,1492462,20.5,1500,Snarl,Brave Bird,Dark Pulse,5,4,3,50000
Kabutops,66.2,141,rock,water,135.5,121,100,1638836,20.5,1493,Mud Shot,Stone Edge,Ancient Power,7,5,5,75000
Krookodile,66.2,553,ground,dark,133.9,94.8,132,1675322,18.5,1498,Snarl,Crunch,Earthquake,4,5,5,75000
Seel,66.2,86,water,none,84,114.3,149,1430849,50,1098,Water Gun,Aqua Tail,Icy Wind,12,15,3,50000
Buneary,66.1,427,normal,none,121.8,100.8,135,1658639,50,1423,Quick Attack,Swift,Fire Punch,5,5,3,50000
Exeggutor (Shadow),66.1,103,grass,psychic,136.7,93.7,128,1639303,18.5,1497,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Lugia (Shadow),66.1,249,psychic,flying,102.4,165,129,2181164,15,1496,Dragon Tail,Aeroblast,Sky Attack,9,6,20,100000
Misdreavus (Shadow),66.1,200,ghost,none,124.1,119,122,1801213,29.5,1498,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Elekid,66,239,electric,none,126,97.5,120,1474345,50,1364,Thunder Shock,Thunder Punch,Brick Break,5,5,5,10000
Geodude (Shadow),66,74,rock,ground,123.5,123.5,113,1724177,50,1462,Rock Throw,Rock Slide,Dig,9,10,1,10000
Arcanine (Hisuian),65.9,59,fire,rock,132.4,100,127,1682540,17.5,1498,Snarl,Wild Charge,Rock Slide,4,4,3,50000
Oricorio (Pom-Pom),65.9,741,electric,flying,130.9,101.4,128,1699439,24,1492,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Armaldo,65.8,348,rock,bug,133.3,110.9,113,1670643,19.5,1497,Fury Cutter,Rock Blast,Liquidation,10,12,3,50000
Eevee,65.8,133,normal,none,100,108.4,135,1463320,50,1210,Quick Attack,Body Slam,Dig,5,7,5,75000
Mightyena,65.8,262,dark,none,125.9,104.3,134,1759749,29,1491,Ice Fang,Crunch,Poison Fang,9,8,1,10000
Dusknoir (Shadow),65.7,477,ghost,none,119.8,172.9,90,1864291,23.5,1499,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Rotom (Wash),65.7,479,electric,water,129.2,143.2,93,1720709,21,1491,Thunder Shock,Thunderbolt,Hydro Pump,7,9,5,75000
Stufful,65.7,759,normal,fighting,125.2,90.8,157,1783933,50,1495,Tackle,Superpower,Stomp,14,14,1,10000
Slowpoke (Shadow),65.6,79,water,psychic,104.2,95,186,1840271,50,1386,Confusion,Psyshock,Water Pulse,4,5,3,50000
Teddiursa,65.6,216,normal,none,130.2,90.8,142,1678466,50,1482,Lick,Cross Chop,Crunch,12,15,3,50000
Murkrow,65.5,198,dark,flying,143.5,80.9,134,1554945,40.5,1498,Feint Attack,Drill Peck,Foul Play,7,8,3,50000
Frillish,65.4,592,water,ghost,109.2,125.2,135,1846427,50,1421,Bubble,Ice Beam,Ominous Wind,5,5,3,50000
Kingler,65.4,99,water,none,143.9,115,93,1539736,19.5,1495,Bubble,Crabhammer,X-Scissor,5,4,3,50000
Misdreavus,65.4,200,ghost,none,124.1,119,122,1801213,29.5,1498,Astonish,Dark Pulse,Shadow Sneak,5,5,3,50000
Venomoth (Shadow),65.4,49,bug,poison,128.2,104.4,131,1752985,27.5,1499,Infestation,Poison Fang,Bug Buzz,4,5,3,50000
Metagross,65.3,376,steel,psychic,132.8,123.6,102,1674069,14.5,1496,Bullet Punch,Meteor Mash,Psychic,8,8,5,75000
Omanyte (Shadow),65.3,138,rock,water,129.2,131.7,102,1735737,44.5,1500,Mud Shot,Rock Blast,Ancient Power,5,5,5,75000
Wartortle (Shadow),65.3,8,water,none,107.9,137.8,139,2067932,48,1496,Water Gun,Ice Beam,Hydro Pump,19,25,3,10000
Charmeleon,65.2,5,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Fire Punch,Return,7,12,3,10000
Exeggutor,65.2,103,grass,psychic,136.7,93.7,128,1639303,18.5,1497,Bullet Seed,Seed Bomb,Psychic,4,5,3,50000
Gothorita,65.2,575,psychic,none,112.5,130.8,135,1986960,41.5,1498,Confusion,Future Sight,Psychic,6,5,3,50000
Mightyena (Shadow),65.2,262,dark,none,125.9,104.3,134,1759749,29,1491,Ice Fang,Crunch,Poison Fang,9,8,1,10000
Bulbasaur (Shadow),65,1,grass,poison,111.8,105.9,120,1419947,50,1260,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Snover,65,459,grass,ice,109.2,100.8,142,1564162,50,1311,Powder Snow,Ice Beam,Energy Ball,7,7,3,50000
Darumaka (Galarian),64.9,554,ice,none,132,83.5,154,1697707,49,1499,Ice Fang,Ice Punch,Ice Beam,8,11,3,50000
Floragato,64.9,907,grass,none,124.9,111,129,1788742,37.5,1498,Leafage,Grass Knot,Play Rough,8,9,3,10000
Gothorita (Shadow),64.8,575,psychic,none,112.5,130.8,135,1986960,41.5,1498,Confusion,Future Sight,Psychic,6,5,3,50000
Alakazam,64.7,65,psychic,none,157,103.1,88,1425029,18,1499,Counter,Fire Punch,Shadow Ball,6,8,3,50000
Bulbasaur,64.7,1,grass,poison,111.8,105.9,120,1419947,50,1260,Vine Whip,Power Whip,Sludge Bomb,7,7,3,10000
Espurr,64.7,677,psychic,none,113.4,108.4,145,1783036,50,1424,Confusion,Psyshock,Energy Ball,4,5,3,50000
Floatzel,64.7,419,water,none,143.8,81.1,133,1551619,22.5,1494,Water Gun,Liquidation,Swift,15,14,3,50000
Gigalith,64.7,526,rock,none,127.2,118.4,116,1747772,17,1492,Smack Down,Superpower,Meteor Beam,5,8,3,50000
Growlithe (Hisuian),64.7,58,fire,rock,131.9,89.9,142,1684382,50,1495,Ember,Rock Slide,Crunch,8,8,3,50000
Krokorok,64.7,552,ground,dark,133.6,87.4,142,1658012,50,1492,Mud Slap,Crunch,Earthquake,5,8,5,75000
Oricorio (Sensu),64.7,741,ghost,flying,130.9,101.4,128,1699439,24,1492,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Exeggcute (Shadow),64.6,102,grass,psychic,102.5,117.6,142,1712557,50,1328,Bullet Seed,Seed Bomb,Ancient Power,4,4,3,50000
Metang (Shadow),64.6,375,steel,psychic,108.9,145.5,129,2043486,35,1494,Metal Claw,Psyshock,Gyro Ball,8,10,5,75000
Pignite,64.6,499,fire,fighting,128.4,84.2,161,1740293,29.5,1495,Ember,Flame Charge,Rock Tomb,9,10,3,10000
Chimecho,64.5,358,psychic,none,120.2,120.2,129,1864669,25,1500,Extrasensory,Psyshock,Shadow Ball,5,6,5,75000
Mesprit,64.5,481,psychic,none,124.1,125.8,116,1811528,18,1500,Confusion,Future Sight,Swift,6,4,20,100000
Quilava (Shadow),64.5,156,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Flame Charge,Dig,9,9,3,10000
Simisear,64.5,514,fire,none,136.6,94.5,126,1627774,23.5,1496,Fire Spin,Crunch,Flamethrower,5,6,3,50000
Trapinch (Shadow),64.5,328,ground,none,148.7,78.1,120,1394782,50,1441,Mud Shot,Scorching Sands,Crunch,6,5,5,75000
Karrablast,64.4,588,bug,none,127.7,85.7,127,1390325,50,1336,Fury Cutter,X-Scissor,Drill Run,10,12,3,50000
Larvesta,64.4,636,bug,fire,131.7,99.2,130,1697421,44.5,1499,Ember,Flame Charge,Bug Buzz,9,10,5,75000
Lycanroc (Dusk),64.4,745,rock,none,145.2,92.5,115,1544749,20.5,1500,Counter,Stone Edge,Crunch,8,7,5,50000
Sharpedo,64.4,319,water,dark,166.6,64.8,124,1338010,25.5,1493,Waterfall,Crunch,Poison Fang,6,5,3,50000
Rampardos (Shadow),64.3,409,rock,none,164.6,66.3,125,1363142,16,1498,Smack Down,Rock Slide,Flamethrower,6,7,5,75000
Stantler,64.3,234,normal,none,132.8,98.1,129,1680704,26,1496,Tackle,Wild Charge,Stomp,15,14,3,50000
Zoroark,64.3,571,dark,none,157.9,86.9,103,1414071,21,1497,Shadow Claw,Foul Play,Sludge Bomb,6,7,5,75000
Stantler (Shadow),64.2,234,normal,none,132.8,98.1,129,1680704,26,1496,Tackle,Wild Charge,Stomp,15,14,3,50000
Aron,64.1,304,steel,rock,114.3,131.1,127,1902550,50,1478,Tackle,Body Slam,Iron Head,12,17,1,10000
Chinchou,64.1,170,water,electric,101.7,94.1,164,1569336,50,1265,Bubble,Thunderbolt,Water Pulse,5,5,3,50000
Braixen,64,654,fire,none,130.4,106.7,123,1710666,31.5,1497,Ember,Flame Charge,Psyshock,9,8,3,10000
Torracat,64,726,fire,none,136.6,89.5,134,1638022,34.5,1497,Ember,Crunch,Flame Charge,8,9,3,10000
Corphish (Shadow),63.9,341,water,none,131.1,95.8,117,1469211,50,1391,Bubble,Scald,Razor Shell,5,4,3,50000
Emboar,63.9,500,fire,fighting,137.9,79.9,147,1618930,18.5,1494,Ember,Blast Burn,Rock Slide,9,8,3,10000
Quilava,63.9,156,fire,none,127.1,109.1,127,1760642,39,1496,Ember,Flame Charge,Dig,9,9,3,10000
Trapinch,63.9,328,ground,none,148.7,78.1,120,1394782,50,1441,Sand Attack,Scorching Sands,Crunch,13,12,5,75000
Rhyhorn (Shadow),63.8,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Stomp,Bulldoze,5,7,3,50000
Mr. Mime (Galarian),63.7,122,ice,psychic,131.2,127.7,102,1709143,27,1497,Confusion,Triple Axel,Ice Punch,4,4,5,75000
Popplio,63.7,728,water,none,113.4,99.2,127,1428526,50,1276,Water Gun,Aqua Tail,Water Pulse,12,19,3,10000
Mankey,63.6,56,fighting,none,137,81.5,113,1261556,50,1317,Karate Chop,Cross Chop,Brick Break,5,5,3,50000
Meowstic (Female),63.6,678,psychic,none,117.6,124.5,130,1902817,26.5,1499,Confusion,Shadow Ball,Energy Ball,5,5,3,50000
Mienshao,63.6,620,fighting,none,156.5,84.8,106,1407427,20,1486,Poison Jab,Brick Break,Grass Knot,6,8,3,50000
Sneasel,63.6,215,dark,ice,135.5,110.7,110,1649923,26.5,1499,Ice Shard,Avalanche,Foul Play,5,5,3,50000
Exeggcute,63.5,102,grass,psychic,102.5,117.6,142,1712557,50,1328,Confusion,Seed Bomb,Ancient Power,4,4,3,50000
Mismagius,63.5,429,ghost,none,133.8,120.8,104,1680621,21.5,1499,Hex,Shadow Ball,Dark Pulse,5,5,3,50000
Monferno,63.5,391,fire,fighting,129.6,95.4,139,1719672,41,1498,Ember,Flamethrower,Low Sweep,10,7,3,10000
Monferno (Shadow),63.5,391,fire,fighting,129.6,95.4,139,1719672,41,1498,Ember,Flamethrower,Low Sweep,10,7,3,10000
Maractus,63.4,556,grass,none,136.8,93.6,128,1638424,24,1498,Bullet Seed,Aerial Ace,Petal Blizzard,4,5,1,10000
Rhyhorn,63.4,111,ground,rock,113.4,110.2,158,1974352,38.5,1499,Mud Slap,Stomp,Bulldoze,5,7,3,50000
Wugtrio,63.4,961,water,none,151.8,107.2,90,1464371,29,1496,Water Gun,Surf,Dig,14,17,3,50000
Wormadam (Plant),63.2,413,bug,grass,109.9,146.8,126,2032523,33.5,1497,Confusion,Energy Ball,Bug Buzz,5,5,1,10000
Kecleon,63.1,352,normal,none,115.6,142.2,117,1923248,27.5,1495,Lick,Foul Play,Flamethrower,15,19,5,75000
Toucannon,63.1,733,normal,flying,137.3,96.8,122,1620926,20.5,1492,Bullet Seed,Drill Peck,Rock Blast,4,4,1,10000
Brionne,63,729,water,none,124.8,115.4,123,1770908,29.5,1488,Charm,Disarming Voice,Water Pulse,8,10,3,10000
Liepard (Shadow),63,510,dark,none,140.9,89.3,126,1585005,31,1499,Snarl,Dark Pulse,Play Rough,4,5,1,10000
Meowstic (Male),62.9,678,psychic,none,117.6,124.5,130,1902817,26.5,1499,Confusion,Thunderbolt,Energy Ball,5,5,3,50000
Oricorio (Baile),62.9,741,fire,flying,130.9,101.4,128,1699439,24,1492,Air Slash,Aerial Ace,Hurricane,5,8,3,75000
Stunky (Shadow),62.9,434,poison,dark,114.3,88.2,147,1482226,50,1301,Bite,Crunch,Sludge Bomb,23,25,3,50000
Metagross (Shadow),62.8,376,steel,psychic,132.8,123.6,102,1674069,14.5,1496,Bullet Punch,Meteor Mash,Psychic,8,8,5,75000
Murkrow (Shadow),62.8,198,dark,flying,143.5,80.9,134,1554945,40.5,1498,Feint Attack,Drill Peck,Foul Play,7,8,3,50000
Shellos,62.8,422,water,none,99.2,100.8,166,1659740,50,1284,Mud Slap,Body Slam,Mud Bomb,4,5,3,50000
Cinccino,62.7,573,normal,none,135.5,95.9,127,1650504,24.5,1499,Charm,Aqua Tail,Thunderbolt,6,10,3,50000
Cacturne,62.6,332,grass,dark,148.9,83.5,121,1505536,23.5,1498,Sand Attack,Grass Knot,Payback,13,15,3,50000
Lunatone,62.6,337,rock,psychic,119.8,108.8,143,1863825,23.5,1494,Confusion,Rock Slide,Moonblast,4,5,3,50000
Snover (Shadow),62.6,459,grass,ice,109.2,100.8,142,1564162,50,1311,Powder Snow,Ice Beam,Energy Ball,7,7,3,50000
